Pantone Code	RGB	Pantone Name
11-0601 TPX	241,242,241	Bright White
11-0602 TPX	240,240,236	Snow White
11-0604 TPX	238,234,227	Gardenia
11-4201 TPX	240,241,240	Cloud Dancer
11-4300 TPX	238,238,230	Marshmallow
11-4800 TPX	233,234,232	Blanc de Blanc
11-0606 TPX	240,237,225	Pristine
11-0701 TPX	240,237,226	Whisper White
12-0104 TPX	226,223,204	White Asparagus
12-0105 TPX	216,212,194	Bone White
12-5202 TPX	223,218,201	Turtledove
13-0905 TPX	223,215,200	Birch
13-4403 TPX	207,206,195	Silver Birch
11-0104 TPX	239,239,223	Vanilla Ice
11-0105 TPX	239,234,215	Antique White
11-0107 TPX	242,239,220	Papyrus
11-0507 TPX	242,237,216	Winter White
12-0605 TPX	223,213,190	Angora
12-0703 TPX	228,221,198	Seedpearl
12-0804 TPX	232,225,199	Cloud Cream
12-0712 TPX	244,231,198	Vanilla
12-0713 TPX	242,232,194	Almond Oil
12-0806 TPX	236,226,191	Rutabaga
12-0812 TPX	240,225,191	Alabaster Gleam
12-0815 TPX	241,229,190	Vanilla Custard
13-0815 TPX	232,213,168	Banana Crepe
13-0917 TPX	236,214,163	Italian Straw
12-0000 TPX	228,218,201	White Swan
12-0304 TPX	226,217,202	Whitecap Gray
12-1403 TPX	223,209,189	Tapioca
13-0607 TPX	214,203,184	Fog
13-0907 TPX	219,208,190	Sandshell
13-0908 TPX	221,210,189	Parchment
13-1006 TPX	219,205,179	Crème Brûlée
11-0809 TPX	242,228,209	Ecru
11-0907 TPX	240,228,210	Pearled Ivory
11-1404 TPX	243,233,225	Powder Puff
12-0704 TPX	237,224,204	White Smoke
12-0710 TPX	240,226,199	Shortbread
12-1106 TPX	244,234,224	Sheer Pink
12-1108 TPX	239,228,214	Dew
11-0603 TPX	231,223,217	Pastel Parchment
11-1005 TPX	237,230,225	Bridal Blush
11-1305 TPX	244,229,220	Angel Wing
11-1306 TPX	243,229,220	Cream Pink
11-2309 TPX	244,233,230	Petal Pink
11-2409 TPX	239,230,229	Delicacy
12-2103 TPX	235,225,223	Almost Mauve
11-4202 TPX	237,239,236	Star White
11-4301 TPX	230,231,226	Lily White
11-4802 TPX	229,235,230	Summer Shower
11-4803 TPX	229,235,226	Ice
12-4302 TPX	227,229,223	Vaporous Gray
12-5201 TPX	223,225,213	Icicle
12-6207 TPX	221,230,220	Frost
11-4303 TPX	230,234,229	Mystic Blue
11-4601 TPX	229,235,236	Bit of Blue
11-4804 TPX	230,237,228	Lightest Sky
11-4805 TPX	221,237,232	Hint of Mint
12-4304 TPX	225,232,227	Bluewash
12-4305 TPX	215,228,226	Spa Blue
12-5203 TPX	212,222,217	Murmur
11-4604 TPX	223,234,233	Billowing Sail
12-4306 TPX	222,226,225	Barely Blue
12-4705 TPX	214,223,220	Blue Blush
12-5303 TPX	205,219,215	Sprout Green
12-5403 TPX	210,222,218	Blue Flower
12-5508 TPX	219,236,232	Hushed Green
12-5603 TPX	213,221,213	Zephyr Blue
12-0714 TPX	244,219,179	Cornhusk
12-0817 TPX	241,213,166	Apricot Gelato
12-0910 TPX	233,216,180	Lamb's Wool
13-0814 TPX	235,216,177	Summer Melon
13-0916 TPX	235,213,168	Chamomile
13-1009 TPX	219,203,170	Biscotti
14-1119 TPX	229,196,158	Winter Wheat
12-0311 TPX	213,213,184	Asparagus Green
13-0611 TPX	212,208,177	Moth
13-0711 TPX	214,206,177	Putty
13-1007 TPX	215,206,179	Oyster White
14-1014 TPX	202,193,160	Gravel
14-1108 TPX	212,201,172	Wood Ash
15-1216 TPX	192,178,144	Pale Khaki
12-0404 TPX	219,217,206	Light Gray
12-6204 TPX	215,215,200	Silver Green
14-0105 TPX	195,192,170	Overcast
14-0210 TPX	187,181,159	Tidal Foam
14-6305 TPX	191,187,170	Pelican
14-6308 TPX	186,186,164	Alfalfa
15-6307 TPX	180,181,165	Agate Gray
14-0108 TPX	202,197,174	Castle Wall
14-0708 TPX	194,186,165	Cement
14-1107 TPX	205,196,176	Oyster Gray
15-0309 TPX	175,168,147	Spray Green
15-0513 TPX	174,168,143	Eucalyptus
16-1108 TPX	168,158,129	Twill
16-1110 TPX	165,153,119	Olive Gray
17-0610 TPX	139,138,121	Laurel Oak
17-1009 TPX	150,139,119	Dune
17-1107 TPX	149,141,121	Seneca Rock
17-1109 TPX	155,144,120	Chinchilla
17-1113 TPX	142,130,106	Coriander
17-1118 TPX	132,116,90	Lead Gray
18-0617 TPX	125,116,94	Covert Green
15-1306 TPX	182,170,149	Oxford Tan
16-1105 TPX	167,158,139	Plaza Taupe
16-1106 TPX	162,152,132	Tuffet
17-0808 TPX	136,120,106	Taupe Gray
17-1310 TPX	138,125,107	Timber Wolf
17-1312 TPX	153,138,118	Silver Mink
17-1410 TPX	132,115,102	Pine Bark
14-0002 TPX	198,192,182	Pumice Stone
16-0906 TPX	171,160,146	Simply Taupe
16-1107 TPX	156,150,136	Aluminum
16-1407 TPX	166,154,138	Cobblestone
18-0513 TPX	100,93,84	Bungee Cord
18-1110 TPX	127,118,105	Brindle
18-1112 TPX	118,106,92	Walnut
13-0000 TPX	214,209,201	Moonbeam
13-0401 TPX	204,197,181	Oatmeal
13-0403 TPX	199,192,181	Gray Morn
13-5304 TPX	204,198,187	Rainy Day
14-1106 TPX	195,188,173	Peyote
15-1305 TPX	185,176,161	Feather Gray
16-0806 TPX	164,156,142	Goat
13-0002 TPX	220,215,212	White Sand
14-0000 TPX	198,191,184	Silver Gray
15-4503 TPX	182,174,165	Chateau Gray
16-1305 TPX	173,165,156	String
16-1406 TPX	163,152,144	Atmosphere
17-1210 TPX	149,141,132	Moon Rock
17-1212 TPX	140,128,118	Fungi
14-4500 TPX	196,194,185	Moonstruck
14-4501 TPX	192,186,174	Silver Lining
15-6304 TPX	174,175,164	Pussywillow Gray
16-0207 TPX	160,158,145	London Fog
17-0207 TPX	139,139,128	Rock Ridge
18-0510 TPX	102,108,102	Castor Gray
18-4105 TPX	123,126,121	Moon Mist
13-4303 TPX	203,208,207	Dawn Blue
